Overhang,5prime,3prime
-11,277,282
-10,265,317
-9,343,433
-8,432,515
-7,717,723
-6,933,819
-5,1418,574
-4,1860,1197
-3,1733,5546
-2,1516,715
-1,1506,708
0,1281,803
1,602,316
2,411,273
3,372,283
4,322,220
5,223,149
6,202,132
7,155,110
8,80,70
9,57,38
10,54,30
11,48,23
12,23,10
13,16,8
14,8,5
15,5,2
